name,period,mass
HD 219134 h,2247,0.34
HD 219139 b,275.5,0.78
HD 219415 b,2093.3,1
HD 219828 b,3.83492,0.066
HD 219828 c,4791,15.1
HD 220074 b,672.1,11.1
HD 220197 b,1728,0.2
HD 220689 b,2266.4,1.118
HD 220773 b,3724.7,1.45
HD 220842 b,218.47,3.18
HD 221287 b,456.1,3.09
HD 221420 b,22482,9.7
HD 221585 b,1173,1.61
HD 222076 b,871,1.56
HD 222155 b,3999,1.9
HD 222582 b,575.9,5.29
HD 224538 b,1189.1,5.97
HD 224693 b,26.73,0.71
HD 22496 b,5.09071,0.01753
HD 22532 b,872.6,2.12
HD 22781 b,528.07,13.65
HD 23079 b,730.6,2.45
HD 23127 b,1214,1.5
HD 231701 b,141.63,1.13
HD 233604 b,192,6.575
HD 233832 b,4047,2.72
HD 23596 b,1565,8.1
HD 238090 b,13.671,0.02168
HD 238914 b,4100,6
HD 240210 b,501.75,5.21
HD 240237 b,745.70001,15.89
HD 24040 b,3668,3.86
HD 24040 c,515.4,0.201
HD 24064 b,535.6,9.4
HD 24085 b,2.0455,0.03713
HD 25015 b,6019.32,4.48
HD 25171 b,1845,0.95
HD 25723 b,457.01,2.5
HD 26161 b,32000,13.5
HD 2638 b,3.458,0.5
HD 26965 b,42.378,0.02665
HD 27442 b,428.1,1.56
HD 27631 b,2208,1.45
HD 27894 b,18.02,0.665
HD 27894 c,36.07,0.162
HD 27894 d,5174,5.415
HD 27969 b,654.5,4.8
HD 28185 b,385.9,5.59
HD 28254 b,1116,1.16
HD 285507 b,6.0881,0.917
HD 285968 b,8.7836,0.026
HD 28678 b,387.10001,2.55
HD 29021 b,1365,4.47
HD 290327 b,2443,2.43
HD 29399 b,892.7,1.57
HD 2952 b,311.60001,1.37
HD 30177 b,2770,9.46
HD 30177 c,11613,7.6
HD 30562 b,1159.2,1.373
HD 30669 b,1684,0.47
HD 30856 b,912,1.8
HD 31253 b,468.7,0.446
HD 31527 b,16.5535,0.0329
HD 31527 c,51.2053,0.0445
HD 31527 d,271.6737,0.0372
HD 3167 d,8.509,0.02171
HD 32518 b,157.54,3.04
HD 32963 b,2372,0.7
HD 330075 b,3.38773,0.48
HD 331093 b,621.62,1.5
HD 33142 b,330,1.26
HD 33142 c,834,5.97
HD 33142 d,89.9,0.2
HD 33283 b,18.1991,0.329
HD 33564 b,388,9.1
HD 33844 b,551.40002,2.01
HD 33844 c,916,1.75
HD 34445 b,1059,0.658
HD 34445 c,214.67,0.168
HD 34445 d,117.87,0.097
HD 34445 e,49.175,0.0529
HD 34445 f,676.8,0.119
HD 34445 g,5700,0.38
HD 35759 b,82.467,3.76
HD 360 b,273.1,0.75
HD 3651 b,62.25,0.228
HD 37124 b,154.46,0.61
HD 37124 c,1942,1.01
HD 37124 d,2295,0.66
HD 37605 b,55.027,2.39
HD 37605 c,2720,3.19
HD 3765 b,1211,0.173
HD 38283 b,363.20001,0.4
HD 38529 b,14.32,0.77
HD 38529 c,2165,13.2
HD 38801 b,696.3,10.7
HD 39091 b,2151,10.27
HD 39194 b,5.6368,0.01259
HD 39194 c,14.03,0.01982
HD 39194 d,33.91,0.01259
HD 39855 b,3.2498,0.02674
HD 40307 b,4.3123,0.01259
HD 40307 c,9.6207,0.02023
HD 40307 d,20.4321,0.02989
HD 40307 f,51.7768,0.01636
HD 40307 g,197.8,0.0223
HD 40956 b,578.6,2.7
HD 40979 b,265.36,3.8
HD 41004 A b,963,2.54
HD 41004 B b,1.3283,18.37
HD 4113 b,526.62,1.56
HD 42012 b,857.5,1.6
HD 4203 b,437.18,1.822
HD 4203 c,7400,2.68
HD 4208 b,832.97,0.81
HD 42618 b,149.61,0.04531
HD 4308 b,15.56,0.0442
HD 4313 b,356.21,1.927
HD 43197 b,327.8,0.6
HD 43691 b,36.9987,2.55
HD 44219 b,472.3,0.58
HD 45184 b,5.8858,0.0375
HD 45184 c,13.1407,0.0344
HD 45350 b,978.19,1.821
HD 45364 b,226.93,0.1872
HD 45364 c,342.85,0.6579
HD 45652 b,44.073,0.433
HD 46375 b,3.024,0.249
HD 47186 b,4.0845,0.07
HD 47186 c,1353.6,0.35061
HD 4732 b,360.2,2.37
HD 4732 c,2732,2.37
HD 47366 b,363.3,1.75
HD 47366 c,684.7,1.86
HD 47536 b,712.13,7.32
HD 4760 b,434,13.9
HD 48265 b,780.3,1.47
HD 4917 b,400.5,1.615
HD 49674 b,4.948,0.12
HD 50499 b,2483.7,1.45
HD 50499 c,10400,3.18
HD 50554 b,1293,4.954
HD 51608 b,14.0726,0.0402
HD 51608 c,95.9446,0.045
HD 52265 b,119.6,1.05
HD 5278 c,40.87,0.05789
HD 5319 b,674.6,1.94
HD 5319 c,886,1.15
HD 55696 b,1827,3.87
HD 5583 b,139.35,5.78
HD 5608 b,792.6,1.4
HD 564 b,492.3,0.33
HD 5891 b,177.11,7.6
HD 59686 A b,299.36,6.92
HD 60292 b,495.4,6.5
HD 60532 b,201.9,1.06
HD 60532 c,604,2.46
HD 62509 b,596.6,2.64
HD 63454 b,2.81805,0.25
HD 63765 b,358,0.53
HD 63935 c,21.4023,0.03492
HD 64114 b,45.791,0.056
HD 64121 b,623,2.56
HD 6434 b,22.017,0.44
HD 65216 b,613.1,1.21
HD 65216 c,5370,2.03
HD 66141 b,480.5,6
HD 66428 b,2293.9,3.194
HD 66428 c,39000,27
HD 67087 b,352.2,3.06
HD 67087 c,2374,4.85
HD 6718 b,2496,1.56
HD 68402 b,1103,3.07
HD 68988 b,6.27711,1.86
HD 68988 c,16000,15
HD 69123 b,1193.3,3.04
HD 69830 b,8.66945,0.0323
HD 69830 c,31.613,0.031
HD 69830 d,200.61,0.0443
HD 70573 b,851.8,6.1
HD 70642 b,2231,2
HD 7199 b,615,0.27
HD 72490 b,858,1.768
HD 72659 b,3658,3.15
HD 72892 b,39.475,5.45
HD 73267 b,1260,3.06
HD 73526 b,190.5,3
HD 73526 c,379.1,2.25
HD 73534 b,1770,1.103
HD 74156 b,51.645,1.8
HD 74156 c,2520,8.2
HD 7449 b,1275,1.11
HD 75289 b,3.5098,0.42
HD 75784 b,341.7,1.15
HD 75784 c,7900,5.64
HD 75898 b,422.9,2.71
HD 76700 b,3.971,0.197
HD 76920 b,415.4,3.93
HD 77338 b,5.7361,0.05
HD 79181 b,273.1,0.64
HD 7924 b,5.39792,0.02
HD 7924 c,15.3006,0.0278
HD 7924 d,24.451,0.02026
HD 79498 b,1966.1,1.34
HD 80606 b,111.4367,4.114
HD 80869 b,1711.7,4.86
HD 81040 b,1002.7,7.24
HD 81688 b,184.02,2.7
HD 81817 b,1047.1,27.1
HD 82886 b,705,1.3
HD 82943 b,442.4,1.5
HD 82943 c,220.078,1.959
HD 8326 b,158.991,0.20955
HD 83443 b,2.9857,0.34
HD 83443 c,8241,1.5
HD 8535 b,1313,0.68
HD 85390 b,799.52,0.099
HD 85512 b,58.43,0.01
HD 8574 b,227.55,2.11
HD 86081 b,2.1378431,1.48
HD 86226 b,1695,0.92
HD 86264 b,1475,7
HD 8673 b,1634,14.2
HD 86950 b,1270,3.6
HD 87646 b,13.481,12.4
HD 87883 b,3303,2.292
HD 88133 b,3.41587,0.299
HD 89307 b,2900,2.61
HD 89744 b,256.78,7.92
HD 90156 b,49.77,0.057
HD 9174 b,1179,1.11
HD 92788 b,326.7,3.34
HD 92788 c,11611.2975,3.67
HD 93083 b,143.58,0.37
HD 93385 b,7.3426,0.01321
HD 93385 c,13.18,0.02234
HD 93385 d,45.85,0.02737
HD 9446 b,30.052,0.7
HD 9446 c,192.9,1.82
HD 94834 b,1576,1.26
HD 95089 b,507,1.2
HD 95089 c,1860,3.97
HD 95127 b,482,5.01
HD 95338 b,55.087,0.13353
HD 95544 b,2172,6.84
HD 95735 c,3190,0.0568
