# Star  v_mag   B-V
#====================
  596  22.421   1.237
  597  22.424   1.621
  598  22.426   1.419
  599  22.431   1.491
  600  22.445   1.288
  601  22.446   1.532
  602  22.458   1.495
  603  22.470   1.436
  604  22.490   1.333
  605  22.494   1.409
  606  22.521   1.426
  607  22.524   1.193
  608  22.529   1.163
  609  22.529   1.215
  610  22.532   1.292
  611  22.552   1.368
  612  22.554   1.127
  613  22.569   1.257
  614  22.596   1.297
  615  22.605   1.421
  616  22.627   1.005
  617  22.631   1.588
  618  22.637   1.631
  619  22.639   1.329
  620  22.651   1.092
  621  22.668   1.486
  622  22.668   0.327
  623  22.670   1.070
  624  22.709   1.275
  625  22.716   1.511
  626  22.722   1.532
  627  22.728   1.160
  628  22.774   1.392
  629  22.790   1.484
  630  22.791   1.489
  631  22.795   1.590
  632  22.800   1.489
  633  22.801   1.397
  634  22.847   1.293
  635  22.859   1.267
  636  22.863   1.370
  637  22.871   1.639
  638  22.879   1.274
  639  22.882   1.277
  640  22.890   1.221
  641  22.891   0.716
  642  22.894   1.406
  643  22.904   1.664
  644  22.907   1.113
  645  22.919   1.307
  646  22.924   1.257
  647  22.964   1.435
  648  22.967   1.581
  649  22.991   1.291
  650  23.003   0.386
  651  23.010   1.320
  652  23.022   1.478
  653  23.046   1.324
  654  23.079   1.274
  655  23.079   1.213
  656  23.113   1.547
  657  23.154   1.279
  658  23.179   1.177
  659  23.186   1.370
  660  23.205   1.291
  661  23.248   0.281
  662  23.260   1.543
  663  23.265   0.276
  664  23.312   0.493
  665  23.315   1.599
  666  23.320   1.687
  667  23.349   1.419
  668  23.389   1.757
  669  23.401   0.564
  670  23.406   1.558
  671  23.420   1.698
  672  23.424   1.485
  673  23.443   1.773
  674  23.446   1.394
  675  23.457   1.747
  676  23.516   1.472
  677  23.527   0.944
  678  23.616   0.667
  679  23.621   1.259
  680  23.631   1.377
  681  23.635   1.408
  682  23.666   1.289
