ra,dec,z,zErr,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
201.19979,3.5314456,0.02200615,9.333591E-06,18.47049,17.35723,16.99514,16.81915,16.79357,0.04550123,0.01368955,0.009275356,0.01221648,0.03925253
201.23132,3.5485082,0.02236386,7.854015E-06,18.81521,17.76815,17.45202,17.2691,17.25838,0.04943784,0.01412188,0.01768584,0.01571526,0.05403898
200.58118,2.4207454,0.02036856,7.570362E-06,17.74955,16.47013,16.02522,15.81792,15.66476,0.02888736,0.004892295,0.004652265,0.005477227,0.01994515
201.30324,2.4181005,0.02319042,5.098516E-06,18.08768,17.18384,17.03635,16.98001,16.93628,0.04060279,0.008343316,0.01105772,0.01645469,0.06253683
208.73618,2.0957065,0.01460503,6.237531E-06,16.49254,15.62194,15.25012,15.09902,14.98549,0.01223941,0.003226776,0.003129969,0.003593957,0.009531418
170.36228,3.4449243,0.02294465,1.199406E-05,16.88724,15.51179,14.96626,14.65661,14.45758,0.02090689,0.003498831,0.003150209,0.003454675,0.008506213
170.38694,2.8104404,0.02382719,9.148097E-06,15.88342,14.32727,13.59638,13.18843,12.80994,0.009074873,0.002198728,0.002004005,0.001999604,0.003249103
170.35411,3.0139519,0.00581081,8.124694E-06,15.62128,14.01661,13.32661,12.9776,12.81169,0.01026595,0.002202171,0.001951827,0.00202628,0.003603161
170.46389,3.4048352,0.003977866,1.1764E-05,18.18052,16.94435,16.69688,16.58954,16.74766,0.06360629,0.01141497,0.01243293,0.02265789,0.06376765
170.51721,3.6143472,0.004821068,9.840308E-05,19.36514,17.99138,17.38253,17.10361,16.98441,0.07831638,0.01305794,0.01095173,0.01273717,0.04054287
178.71375,2.9592442,0.0202167,1.583757E-05,16.54485,15.18459,14.77121,14.56244,14.46436,0.01804607,0.002982782,0.002964878,0.003151353,0.006929186
178.56549,3.4040772,0.008276647,1.817251E-05,17.80002,16.76494,16.46027,16.33461,16.26262,0.02544138,0.006703357,0.01127846,0.01225466,0.0378622
186.05843,3.7261373,0.02289741,8.334865E-06,17.94149,16.21584,15.47401,15.09007,14.80107,0.01878105,0.003356382,0.002884314,0.002956472,0.005207626
185.73596,2.7469424,0.006120098,5.12784E-06,16.17342,15.10056,14.61821,14.38982,14.24128,0.009073206,0.002575329,0.002503854,0.003586431,0.007431198
185.97596,3.0848468,0.006241285,6.264483E-06,16.36204,15.48386,15.19699,15.03945,14.94729,0.008806883,0.003023184,0.002978408,0.003586801,0.008315319
186.49326,3.4301978,0.004718135,1.822848E-05,15.90689,14.05468,13.27516,12.81869,12.41989,0.01957507,0.005759652,0.002508492,0.004700281,0.004782997
186.1721,3.7214599,0.006201168,5.680063E-06,17.06287,16.11858,15.79739,15.64253,15.48919,0.01829778,0.003942469,0.004140089,0.005285753,0.01536804
186.16681,3.3028857,0.003100084,1.257357E-05,21.00072,19.88261,19.62489,19.29612,19.43158,0.1244299,0.0268729,0.02555076,0.02782264,0.09577796
193.8147,2.8966435,0.009272686,6.410075E-06,15.24083,13.61206,12.7986,12.47041,12.11325,0.006147513,0.001939148,0.001765672,0.001852797,0.002376688
193.8857,2.9397538,0.01795836,7.823493E-06,17.75926,16.85195,16.5365,16.3495,16.20829,0.02401386,0.006127252,0.006525975,0.007748664,0.02295095
193.71278,2.6541026,0.003257629,4.805699E-06,15.55822,14.88218,14.68574,14.68094,14.6323,0.009443195,0.003068416,0.003422854,0.004443319,0.01626289
194.40343,3.4453144,0.02325367,8.819628E-06,18.4408,17.26365,16.83016,16.63256,16.46268,0.05294676,0.007046191,0.006920225,0.009198491,0.02878984
194.43574,2.6917493,0.003059661,2.309714E-05,21.69563,19.87653,19.3469,19.21999,18.95623,0.2951513,0.03256055,0.02573737,0.0378886,0.1169958
200.70189,3.1175919,0.01965869,4.858794E-06,18.01277,17.00303,16.70973,16.58368,16.44539,0.02328868,0.005839686,0.00543701,0.007381361,0.02462838
208.01716,3.3690115,0.0144532,7.098174E-06,17.21986,16.07449,15.68115,15.51626,15.50474,0.02070316,0.004934666,0.004553292,0.006350007,0.02604669
207.99871,2.46994,0.02224085,9.178489E-06,17.55992,15.74866,14.9764,14.59112,14.28768,0.02034772,0.003090053,0.002632331,0.002662588,0.005206549
208.05066,2.4037299,0.02375588,1.751298E-05,16.94526,15.59031,14.9809,14.66087,14.45781,0.02600059,0.003596017,0.003241468,0.00350125,0.01015171
207.97793,2.4378085,0.02402283,2.173982E-05,19.18653,17.61155,16.90193,16.55914,16.34031,0.05755555,0.00741348,0.006017609,0.006257801,0.01836853
208.42468,3.3774002,0.01561153,1.122557E-05,15.52065,14.28863,13.63637,13.27584,13.03712,0.008412755,0.002325051,0.00211595,0.002180143,0.003539263
208.23565,2.8142747,0.01545377,7.988456E-06,15.54317,13.72247,12.9409,12.51786,12.21924,0.008470062,0.001917796,0.001737087,0.001742706,0.00239646
208.77123,3.2960549,0.02423805,5.686922E-06,18.58906,17.6363,17.2862,17.1062,16.94182,0.02967505,0.00641504,0.006295739,0.00763879,0.02160907
223.8019,2.8167725,0.0214936,9.101489E-06,17.66928,16.47979,15.98609,15.74255,15.57545,0.02271172,0.00467721,0.004531701,0.00490093,0.01278377
